order_id,customer_id,product_id,order_date,amount,status
3852,414.0,96.0,2026-04-14 09:30:30,557.27,completed
910,63.0,99.0,2026-05-24 09:30:30,829.97,refunded
1031,63.0,89.0,2026-06-04 09:30:30,476.11,cancelled
3371,488.0,21.0,2026-05-29 09:30:30,,pending
226,387.0,73.0,2026-04-22 09:30:30,499.18,refunded
2630,124.0,56.0,2026-04-14 09:30:30,808.35,cancelled
1249,15.0,16.0,2026-04-14 09:30:30,648.34,refunded
4583,28.0,17.0,2026-04-12 09:30:30,304.54,cancelled
2618,319.0,86.0,2026-06-23 09:30:30,602.76,refunded
963,257.0,56.0,2026-06-08 09:30:30,94.23,pending
4347,423.0,,2026-05-18 09:30:30,99.23,pending
4753,334.0,1.0,2026-05-20 09:30:30,645.89,refunded
4911,330.0,32.0,2026-06-28 09:30:30,580.69,cancelled
752,95.0,67.0,2026-05-05 09:30:30,227.76,
4706,200.0,4.0,2026-04-28 09:30:30,438.53,pending
4099,486.0,45.0,2026-04-16 09:30:30,142.6,cancelled
2381,197.0,75.0,2026-04-15 09:30:30,908.21,refunded
3626,225.0,62.0,2026-05-03 09:30:30,392.99,completed
4782,82.0,37.0,2026-04-28 09:30:30,700.99,cancelled
169,422.0,60.0,2026-04-20 09:30:30,72.58,refunded
3080,322.0,74.0,2026-07-08 09:30:30,741.51,cancelled
2980,2.0,14.0,2026-04-24 09:30:30,,pending
2850,143.0,51.0,2026-04-20 09:30:30,49.55,refunded
3975,161.0,,2026-06-24 09:30:30,715.67,completed
1816,156.0,15.0,2026-05-10 09:30:30,369.95,completed
578,141.0,,2026-06-14 09:30:30,909.22,pending
1346,,57.0,2026-05-04 09:30:30,868.28,completed
2738,217.0,90.0,2026-06-10 09:30:30,792.8,
2,410.0,14.0,2026-05-21 09:30:30,730.93,pending
2055,51.0,34.0,2026-05-21 09:30:30,967.24,cancelled
4412,271.0,75.0,2026-05-29 09:30:30,884.2,completed
4287,86.0,32.0,2026-06-19 09:30:30,,completed
